Places,City,Start Timings,End Timings,Ratings(Google),Reviewed,Latitude,Longitude
Golconda Fort,Hyderabad,9:00 AM,5:03 PM,4.8,93324,17.3847636,78.4033392
Charminar,Hyderabad,9:00 AM,5:03 PM,4.5,142944,17.3615636,78.4746645
Mecca Masjid,Hyderabad,4:00 AM,9:30 PM,4.7,9818,17.3604416,78.4735712
Qutb Shahi Tombs,Hyderabad,9:30 AM,6:30 PM,4.4,12859,17.3950064,78.3967542
Hussain Sagar Lake,Hyderabad,8:00 AM,10:00 PM,4.3,7706,17.4238798,78.4738215
Ramoji Film City,Hyderabad,9:00 AM,5:30 PM,4.4,"13,811",17.4435013,78.460737
Salar Jung Museum,Hyderabad,10:00 AM,5:00 PM,4.4,49930,17.3712932,78.4803485
Chowmahalla Palace,Hyderabad,10:00 AM,5:00 PM,4.4,30031,17.3578233,78.4716897
Paigah Tombs,Hyderabad,10:00 AM,5:00 PM,4.7,"2,141",17.343983,78.504131
Birla Mandir,Hyderabad,7:00 AM,9:00 PM,4.7,"24,653",17.4062367,78.4690601
Jala Vihar,Hyderabad,11:00 AM,7:00 PM,4,"27,935",17.4325926,78.4647823
Lumbini Park,Hyderabad,9:00 AM,9:00 PM,4,"55,672",17.4098755,78.4731518
Nehru Zoo Park,Hyderabad,8:00 AM,5:00 PM,4.2,"66,432",17.350678,78.4513068
Snow world,Hyderabad,11:00 AM,9:00 PM,4,"11,862",17.4145708,78.4809225
NTR Gardens,Hyderabad,2:30 PM,8:30 PM,4.2,"71,415",17.4124512,78.4688386
Shilparamam,Hyderabad,10:30 AM,8:00 PM,4.3,"71,006",17.452573,78.3783065
Chilkur Balaji Temple,Hyderabad,5:00 AM,8:00 PM,4.7,"31,731",17.3586513,78.2988174
Mount Opera,Hyderabad,11:00 AM,6:00 PM,3.6,"1,938",17.385044,78.486671
Sanghi Temple,Hyderabad,8:00 AM,8:00 PM,4.6,"11,566",17.2668077,78.6759666
Botanical Gardens,Hyderabad,5:30 AM,6:00 PM,4.2,"17,250",17.4539898,78.3572149
Birla Planetarium,Hyderabad,11:30 AM,8:00 PM,4.2,534,17.4032707,78.4702627
Laad Bazaar,Hyderabad,11:00 AM,11:00 PM,4,334,17.3628791,78.4741288
Sri Undrugonda Narasimhaswamy Temple,Suryapet,9:00 AM,9:00 PM,4.8,137,17.0833943,79.6908921
Jan Pahad Dargah,Suryapet,9:00 AM,9:00 PM,4.2,224,16.7420504,79.7245635
Phanigiri,Suryapet,8:00 AM,7:00 PM,4.3,115,17.4194641,79.4724978
Mallacheruvu,Suryapet,5:30 AM,7:00 PM,4,73,16.8192144,79.9290642
Jurala Dam,Mahabubnagar,7:30 AM,8:30 PM,4.2,"1,232",16.3375,77.704444
Koilkonda Fort and Koilsagar Dam,Mahabubnagar,6:00 AM,8:00 PM,4.3,91,16.7585963,77.7888326
Gadwal Fort,Mahabubnagar,7:00 AM,9:00 PM,4.1,"2,778",16.2369997,77.7993049
Lalitha Someswara Swamy Temple,Mahabubnagar,6:30 AM,7:00 PM,4.3,381,16.048476,78.3265029
Kollapur,Mahabubnagar,"6:00AM , 6:00PM","9:00AM , 8:00PM",4.2,134,16.1060334,78.3191698
Alampur,Mahabubnagar,5:30 AM,8:30 PM,4.1,152,15.8843491,78.1193823
