city,latitude,longitude,additional_info,address,area,guest_recommendation,hotel_description,hotel_facilities,hotel_star_rating,property_name,property_id,property_type,province,review_count_by_category,room_area,room_facilities,room_type,site_review_count,site_review_rating,site_stay_review_rating,state,uniq_id
Anantapur,14.4158928,77.7255276,Room Service,"Adjacent Chakravarthy Theater, KPT St, Siva Nagar, Dharmavaram,Anantapu",Siva Nagar,,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances. Customer Government approved Photo ID card is must to carry at the time of check in.,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Power Backup|Room Service (24 Hours)|Parking Facility|Room Service,0,Balaji Inn,HTLGBO1000082694,Hotel,Anantapur,,,Room Service |Air Conditioning |Alarm Clock|Bathrobe (on request) |Basic Bathroom Amenities|Ceiling Fan| Hot / Cold Running Water|Housekeeping|Desk in Room|Window Opens|Mirror|Rooms with Attached Bathrooms|Sanitary Bin|Sufficient Lighting,Suite Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,d21dc7decafc1a418f6f62e0af099eda
Hyderabad,15.9128998,79.7399875,Room Service,"Flat no 308,Block 2,Sarada Apartments II, Next lane to Axis Bank, Road No.1, Banjara Hills",Banjara Hills Area,,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Laundry Service Available|Medical Assistance Available|Suitable For Children|Room Service,0,Athidhi Guest House,HTLGBO1000041196,Guest House,Hyderabad,,,Room Service |Air Conditioning |Housekeeping|Breakfast Available,Deluxe Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,c5d8f250660694b37f607854214171bd
Hyderabad,17.44689227,78.38379466,Room Service|Gym/Spa|Swimming Pool|Restaurant,"Plot no. 15, 24, 25 and 26, Survey no. 64, Sector-1, Huda Techno enclave, Madhapur, Hyderabad - 500081",Hi-Tech City,89,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. Hotel Policy:  Bookings are Non Amendable and Non Refundable,Swimming Pool|Banquet Facilities|Bar / Lounge |Currency Exchange|Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Parking Facilities Available|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Local Tour / Travel Desk|Major Credit Cards Accepted|Conference Facility |Spa Services Nearby,5,Avasa Hotel,HTLGBO1000000230,Hotel,Hyderabad,positive reviews::121|critical reviews::3|reviews with images::7,19 X 19 Sq.ft.,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Mini bar - On Charge |Internet Connection In Room|Telephone|Safe - In - Room,Avasa Silver,124,4.5,Service Quality::4.4|Amenities::4.5|Food and Drinks::4.3|Value for Money::4.4|Location::4.5|Cleanliness::4.4,Andhra Pradesh,68b92bb2287ea66f696244d7e3c43296
Tirupati,13.62699357,79.42858332,Free Internet,"flat no 109 , indralok apartments,old renigunta road ,Behind Reliance Mart",Old Tirchanoor Road,66,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Terms and Conditions: It is mandatory for guests to present valid photo identification at the time of check-in.,Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Power Backup|Wake-up Call / Service|Taxi Services|Internet Access Free,1,Chethans inn  serviced apartments,HTLGBO1000013801,Hotel,Tirupati,positive reviews::1|critical reviews::2|reviews with images::0,,Room Service |Basic Bathroom Amenities|Ceiling Fan|Telephone|TV|Luggage Rack|Attached Bathroom,Standard Non Ac Room,3,2.9,Service Quality::3.0|Amenities::3.0|Food and Drinks::2.9|Value for Money::3.0|Location::3.0|Cleanliness::2.9,Andhra Pradesh,bbbf52a2730bed9cc68ee776ff43505a
Hyderabad,17.4471644,78.3722413,Room Service|Internet Access|Free Internet,"Plot No21, Silicon valley, Madhapur, Hyderabad - 500081",Hi-Tech City,,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Airport Transfer Available / Surcharge|Babysitting/ Child Care (surcharge)|Business Center |Concierge|Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Internet Access Free,0,Blue Dawn Suites Service Appartment,HTLGBO1000069686,Service Apartment,Hyderabad,,,"Room Service |Air Conditioning |Alarm Clock|Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Ensuite / Private Bathroom|Hairdryer (on request)|Heating Facility (on request) |Iron / Ironing board available|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Shower Facility Available|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Attached Bathroom",Standard Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,dd769dfce9e79fd3d48677706c9c0ae8
Visakhapatnam,17.7361885,83.3296805,Room Service|Internet Access,"opp to shivaji park,peddawaltair,visakhapatnam-17",,50,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 48 Hrs prior to check-in The standard check-in time is 14:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly. According to government regulations, a valid Photo ID has to be carried by every person who stays at the hotel. The identification proofs accepted are Drivers License, Voters Card, Passport, Ration Card. Without valid ID the guest will not be allowed to check in. Note- PAN Cards will not be accepted as a valid ID card.   *   It is mandatory for guests to present valid photo identification at the time of check-in.   *   The primary guest checking in to the hotel must be at least 21 years of age.   *   The hotel reserves the right of admission. Accommodation can be denied to guests posing as a couple if suitable proof of identification is not presented at check-in.   *   The hotel reserves the right of admission for local residents. Accommodation can be denied to guests residing in the same city.   *   Local ID proof will not be valid.",Banquet Facilities|Doctor on Call|Laundry Service Available|Major Credit Cards Accepted|24 Hour Front Desk|Power Backup|Internet Access,2,Chakri Guest House,HTLGBO1000041186,Guest House,Visakhapatnam,positive reviews::3|critical reviews::1|reviews with images::1,10 X 12 Sq.ft.,Room Service |Telephone|TV|Rooms with Attached Bathrooms,Standard Room Non A/c,4,3.8,Service Quality::3.8|Amenities::3.8|Food and Drinks::4.0|Value for Money::3.8|Location::4.0|Cleanliness::4.0,Andhra Pradesh,4f7e68d7b3e39e52d815a20fd67a2e97
Chittoor,13.217176,79.1003289,Room Service,"Door No 17-440, Sundarayyar Street, Chittoor Ho, Chittoor - 517001, Near Old Bus Stand","No.2-128/1, Puttur Road, Kongareddypalli, Near RTC Bus Stand",,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances. Customer Government approved Photo ID card is must to carry at the time of check in.,Doctor on Call|Lobby|Front Desk|Luggage Storage|Parking Facility|Room Service|First-Aid Kit at Front Desk,0,chandra residency,HTLGBO1000079026,Hotel,Chittoor,,,Room Service |Alarm Clock|Cable / Satellite / Pay TV available|Ceiling Fan| Hot / Cold Running Water|Housekeeping,Standard Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,a8f463ad6033cf85bbd6b0e9153ea7c2
Tirupati,13.6403071,79.4176391,Room Service,"13-6-616/J3/36, Peddakapu Layout, Tirupati Ho, Tirupati - 517501, Near R T C Bus Station",Main Town,,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be direct,Doctor on Call|Laundry Service Available|Lift / Elevator|Dance Performances (on demand)|Parking Facility|Room Service,2,CCR Residency,HTLGBO1000039830,Lodge,Tirupati,,10 X 12 Sq.ft.,Room Service |Air Conditioning |Ceiling Fan|Ensuite / Private Bathroom| Hot / Cold Running Water|Housekeeping,Deluxe AC Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,a8b203032adedc4cedab4d2ed01e4e33
Nellore,14.4462682,79.9794142,Room Service,"near madras busstand,nellore-524003",Nellore,,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly According to government regulations, a valid Photo ID has to be carried by every person who stays at the hotel. The identification proofs accepted are Drivers License, Voters Card, Passport, Ration Card. Without valid ID the guest will not be allowed to check in. Note- PAN Cards will not be accepted as a valid ID card.",Front Desk|Power Backup|Room Service|First-Aid Kit at Front Desk,1,Bhavani Residency,HTLGBO1000060418,Hotel,Nellore,,12 X 12 Sq.ft.,Room Service |Air Conditioning |Basic Bathroom Amenities|Ceiling Fan|Telephone|TV|Mirror,AC Standard,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,6533a6aaea42d1ae886b1cba5002affc
Hyderabad,17.385044,78.486671,Room Service,"Plot No-36c, Road No-12,Mla Colony, Banjara Hills, Hyderabad - 500034",Banjara Hills Area,,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|24 Hour Front Desk|Medical Assistance Available|Separate Sitting Area|Smoking Area |Parking Facility|Room Service|CCTV|First-Aid Kit at Front Desk|Public Restrooms,1,C 9 Service Apartments,HTLGBO1000072326,Service Apartment,Hyderabad,,,"Room Service |Basic Bathroom Amenities|Ceiling Fan| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Wardrobe|Sofa Table / Extra Seats |Mirror|Attached Bathroom|Bedside Table|Curtains/Shades|Daily Room Cleaning|Dustbins|Room Door Fitted with Lock and Key|Rooms with Attached Bathrooms|Sufficient Lighting",Standard Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,ca211a5a62d93a46a003438ef2c413c5
